lon,lat,elevation,som,moisture,temp,B01_1,B02_1,B03_1,B04_1,B05_1,B06_1,B07_1,B08_1,B09_1,B11_1,B12_1,B8A_1
142.1342809,-36.74418521,416.01,1.9,28.13,72.33,1840.0,2342.0,2572.0,3120.0,3392.0,3520.0,3776.0,3832.0,3328.0,5056.0,4160.0,3904.0
142.1342241,-36.74421168,416.01,1.9,28.13,72.03,1840.0,2342.0,2572.0,3120.0,3392.0,3520.0,3776.0,3832.0,3328.0,5056.0,4160.0,3904.0
142.1341624,-36.74423383,416.34,2.025,29.1,69.9,1872.0,2323.0,2647.0,3149.0,3392.0,3392.0,3648.0,3819.0,3328.0,5056.0,4160.0,3776.0
142.1340965,-36.74424379,416.34,2.23,32.75,69.1,1872.0,2323.0,2647.0,3149.0,3392.0,3392.0,3648.0,3819.0,3328.0,5056.0,4160.0,3776.0
142.1340413,-36.74421172,416.34,2.215,32.02,69.68,1872.0,2354.0,2622.0,3172.0,3392.0,3392.0,3648.0,3786.0,3328.0,5056.0,4160.0,3776.0
142.1339734,-36.74417688,416.67,2.095,34.25,70.8,1872.0,2309.0,2587.0,3089.0,3264.0,3392.0,3520.0,3749.0,3840.0,5056.0,4032.0,3776.0
142.1339087,-36.74418656,416.67,1.995,35.15,70.48,1872.0,2309.0,2587.0,3089.0,3264.0,3392.0,3520.0,3749.0,3840.0,5056.0,4032.0,3776.0
142.1338405,-36.74420033,416.99,2.11,32.67,70.88,1872.0,2250.0,2517.0,3009.0,3264.0,3392.0,3520.0,3619.0,3840.0,5056.0,4032.0,3776.0
142.1337802,-36.74422642,416.99,2.075,30.15,71.83,1872.0,2250.0,2517.0,3009.0,3264.0,3392.0,3520.0,3619.0,3840.0,5056.0,4032.0,3776.0
142.1337253,-36.74425842,417.32,2.05,27.1,72.68,1808.0,2291.0,2503.0,3024.0,3264.0,3392.0,3520.0,3642.0,3840.0,4928.0,4160.0,3776.0
142.1336681,-36.74428815,417.98,2.215,28.77,71.05,1808.0,2291.0,2503.0,3024.0,3264.0,3392.0,3520.0,3642.0,3840.0,4928.0,4160.0,3776.0
142.1336118,-36.74431907,418.31,2.375,29.6,71.08,1808.0,2281.0,2559.0,3057.0,3264.0,3392.0,3520.0,3657.0,3840.0,4928.0,4160.0,3776.0
142.1335561,-36.74435074,418.96,2.27,29.63,71.88,1808.0,2312.0,2547.0,3015.0,3264.0,3392.0,3520.0,3727.0,3840.0,4928.0,4160.0,3776.0
142.1335039,-36.74438551,419.62,2.49,29.2,71.7,1840.0,2301.0,2564.0,3050.0,3392.0,3392.0,3520.0,3684.0,3840.0,5056.0,4160.0,3776.0
142.1334545,-36.74442263,420.28,2.365,27.23,71.8,1840.0,2301.0,2564.0,3050.0,3392.0,3392.0,3520.0,3684.0,3840.0,5056.0,4160.0,3776.0
142.1334072,-36.74446153,420.6,2.47,27.55,72.05,1776.0,2297.0,2530.0,3049.0,3264.0,3520.0,3648.0,3654.0,3840.0,5184.0,4160.0,4032.0
142.13336,-36.74450033,421.26,2.64,28.13,71.45,1776.0,2297.0,2530.0,3049.0,3264.0,3520.0,3648.0,3654.0,3840.0,5184.0,4160.0,4032.0
142.1333126,-36.74453893,421.59,2.71,27.4,70.98,1776.0,2371.0,2639.0,3108.0,3264.0,3520.0,3648.0,3798.0,3840.0,5184.0,4160.0,4032.0
142.1332655,-36.74457813,421.92,2.68,27.68,70.8,1808.0,2296.0,2558.0,2985.0,3264.0,3392.0,3520.0,3681.0,3840.0,5184.0,4288.0,3904.0
142.133217,-36.74461628,422.24,2.79,27.9,70.0,1808.0,2296.0,2558.0,2985.0,3264.0,3392.0,3520.0,3681.0,3840.0,5184.0,4288.0,3904.0
142.1331706,-36.74465618,422.24,2.82,26.95,69.35,1808.0,2395.0,2665.0,3097.0,3264.0,3392.0,3520.0,3906.0,3840.0,5184.0,4288.0,3904.0
142.133124,-36.74469608,422.24,2.65,27.52,69.68,1808.0,2395.0,2665.0,3097.0,3264.0,3392.0,3520.0,3906.0,3840.0,5184.0,4288.0,3904.0
142.1330787,-36.74473733,422.24,2.44,25.73,71.15,1808.0,2397.0,2666.0,3225.0,3392.0,3520.0,3648.0,3865.0,3840.0,5184.0,4288.0,3904.0
142.1330315,-36.74477693,421.92,2.5,24.45,70.85,1808.0,2397.0,2666.0,3225.0,3392.0,3520.0,3648.0,3865.0,3840.0,5184.0,4288.0,3904.0
142.1329826,-36.74481538,421.59,2.395,23.63,71.18,1808.0,2397.0,2666.0,3225.0,3392.0,3520.0,3648.0,3865.0,3840.0,5184.0,4288.0,3904.0
142.1329354,-36.74485538,421.26,2.375,26.57,71.05,1808.0,2381.0,2654.0,3203.0,3392.0,3520.0,3648.0,3782.0,3840.0,5184.0,4288.0,3904.0
142.1328902,-36.74489693,421.26,2.625,25.32,71.18,1808.0,2381.0,2654.0,3203.0,3392.0,3520.0,3648.0,3782.0,3840.0,5184.0,4288.0,3904.0
142.1328429,-36.74493703,420.93,2.465,25.25,71.28,1776.0,2345.0,2580.0,3079.0,3264.0,3392.0,3520.0,3725.0,3840.0,4928.0,4160.0,3904.0
142.1327957,-36.74497683,420.6,2.355,26.32,71.38,1776.0,2345.0,2580.0,3079.0,3264.0,3392.0,3520.0,3725.0,3840.0,4928.0,4160.0,3904.0
142.1327484,-36.74501683,420.6,2.35,24.4,71.48,1776.0,2264.0,2521.0,2926.0,3264.0,3392.0,3520.0,3672.0,3840.0,4928.0,4160.0,3904.0
142.1327012,-36.74505693,420.6,2.535,24.43,71.25,1776.0,2264.0,2521.0,2926.0,3264.0,3392.0,3520.0,3672.0,3840.0,4928.0,4160.0,3904.0
142.1326521,-36.74509548,420.6,2.47,25.93,71.38,1776.0,2264.0,2521.0,2926.0,3264.0,3392.0,3520.0,3672.0,3840.0,4928.0,4160.0,3904.0
142.1326068,-36.74513683,420.6,2.575,24.57,71.28,1744.0,2151.0,2381.0,2837.0,2752.0,3008.0,3136.0,3543.0,3328.0,4288.0,3648.0,3264.0
142.1325596,-36.74517673,420.28,2.44,22.95,71.25,1744.0,2151.0,2381.0,2837.0,2752.0,3008.0,3136.0,3543.0,3328.0,4288.0,3648.0,3264.0
142.1325124,-36.74521683,420.28,2.39,22.38,71.45,1744.0,1782.0,1795.0,2124.0,2752.0,3008.0,3136.0,2619.0,3328.0,4288.0,3648.0,3264.0
142.1324653,-36.74525663,420.28,2.735,24.95,71.6,1744.0,1782.0,1795.0,2124.0,2752.0,3008.0,3136.0,2619.0,3328.0,4288.0,3648.0,3264.0
142.1324162,-36.74529508,419.95,2.535,26.6,71.73,1744.0,1472.0,1599.0,1704.0,2752.0,3008.0,3264.0,2548.0,3328.0,4288.0,3648.0,3392.0
142.1323692,-36.74533528,419.95,2.45,24.4,71.73,1744.0,1472.0,1599.0,1704.0,2752.0,3008.0,3264.0,2548.0,3328.0,4288.0,3648.0,3392.0
142.1323237,-36.74537653,419.95,2.57,23.85,70.93,1744.0,1472.0,1599.0,1704.0,2752.0,3008.0,3264.0,2548.0,3328.0,4288.0,3648.0,3392.0
142.1322746,-36.74541498,419.95,2.47,23.27,71.58,1744.0,1831.0,2021.0,2152.0,2752.0,3008.0,3264.0,3489.0,3328.0,4288.0,3648.0,3392.0
142.1322275,-36.74545498,420.28,2.685,25.6,70.85,1744.0,1831.0,2021.0,2152.0,2752.0,3008.0,3264.0,3489.0,3328.0,4288.0,3648.0,3392.0
142.1321823,-36.74549623,420.6,2.31,25.02,71.68,1712.0,2073.0,2334.0,2553.0,2880.0,3136.0,3136.0,3696.0,3328.0,4416.0,3776.0,3648.0
142.1321352,-36.74553593,420.93,2.395,23.1,71.33,1712.0,2073.0,2334.0,2553.0,2880.0,3136.0,3136.0,3696.0,3328.0,4416.0,3776.0,3648.0
142.1320863,-36.74557438,420.93,2.37,23.18,72.23,1712.0,1936.0,2165.0,2443.0,2880.0,3136.0,3136.0,3217.0,3328.0,4416.0,3776.0,3648.0
142.1320395,-36.74561438,421.26,2.56,23.55,71.75,1712.0,1936.0,2165.0,2443.0,2880.0,3136.0,3136.0,3217.0,3328.0,4416.0,3776.0,3648.0
142.1319945,-36.74565563,421.26,2.615,23.5,71.4,1712.0,1936.0,2165.0,2443.0,2880.0,3136.0,3136.0,3217.0,3328.0,4416.0,3776.0,3648.0
142.1319472,-36.74569523,421.59,2.34,22.2,72.0,1712.0,1642.0,1693.0,1876.0,2496.0,2752.0,3008.0,2742.0,3840.0,4160.0,3264.0,3264.0
142.1318982,-36.74573358,421.59,2.44,27.25,72.13,1712.0,1642.0,1693.0,1876.0,2496.0,2752.0,3008.0,2742.0,3840.0,4160.0,3264.0,3264.0
142.1318512,-36.74577358,421.92,2.615,26.57,72.35,1712.0,1543.0,1700.0,1825.0,2496.0,2752.0,3008.0,3253.0,3840.0,4160.0,3264.0,3264.0
142.131804,-36.74581348,421.92,2.51,27.25,72.38,1712.0,1543.0,1700.0,1825.0,2496.0,2752.0,3008.0,3253.0,3840.0,4160.0,3264.0,3264.0
142.1317572,-36.74585338,422.24,2.52,27.8,72.03,1712.0,1934.0,2032.0,2222.0,2368.0,3008.0,3136.0,3711.0,3840.0,4032.0,3136.0,3392.0
